,Cloud and Capacity,Storage ,Storage Technical Specialist,Hitachi HDS (SAN),Trainings & Certification,SAN Prereq: Foundations of Storage (SS0DG) ; Storage Area networking Fundamentals (SN71DG) ,Storage Concepts: Storing And Managing Digital Data,Storage administration (HQT-6740)  ITIL Foundation,Replication (HCE-3710) ,,Hitachi Enterprise (HCE-4130) ,Storage Virtualization (HCE-5730) Replication (HCE-5710)  ITIL SO (or IT4IT L1) ITIL CSI  ,,,,,,
,App & Midleware,EDM,Specialist ERP archiving,Opentext ,Content management,Basic knowledge ; ability to solve issue based on KB,TS1 + deeper understanding of the application technology and customers' environment.,TS2 + advanced understanding of the application technology ; integrations and customer's business,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist ERP archiving,Multiple,Platform and database,Basic knowledge ;  ability to solve issue based on KB,TS1 + deeper knowledge of admin and maintenance. Knowledge of all components of the solution. Is able to perform tasks according to instructions.,TS2 + advanced knowledge of admin and maintenance. Advanced knowledge of all components of the solution.  Is able to understand customer needs through customer requirements. Can recommend solutions within own discipline. ,TS3 + advanced knowledge of admin and maintenance. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist FLEX archiving,Multiple,Platform and database,Basic knowledge ;  ability to solve issue based on KB,TS1 + deeper knowledge of admin and maintenance. Knowledge of all components of the solution. Is able to perform tasks according to instructions.,TS2 + advanced knowledge of admin and maintenance. Advanced knowledge of all components of the solution.  Is able to understand customer needs through customer requirements. Can recommend solutions within own discipline. ,TS3 + advanced knowledge of admin and maintenance. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist FLEX archiving,Multiple,FLEX solution,Basic knowledge ; ability to solve issue based on KB,TS1 + deeper understanding of the application technology and customers' environment.,TS2 + advanced understanding of the application technology ; integrations and customer's business,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist Data mgmt,Opentext ,Exstream,Basic knowledge ; ability to solve issue based on KB,TS1 + deeper understanding of the application technology and customers' environment.,TS2 + advanced understanding of the application technology ; integrations and customer's business,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist Data mgmt,Opentext ,Exstream application design,Basic knowledge ; ability to solve issue based on KB. Basic skills of programming.,TS1 + deeper understanding of the application technology and customers' environment.,TS2 + advanced understanding of the application technology ; integrations and customer's business,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist Output mgmt,Multiple,Output mgmt,Basic knowledge ;  ability to solve issue based on KB.  Basic understanding of Printing.,TS1 + deeper understanding in different customer cases. Transfer methods in use such as FTP ; SFTP ; MVS Download.  ,TS2 + advanced understanding ; knowledge of different file types ASCII ; EBCDIC  ;and how to use channel and TRC functions in printfiles. ,TS3 + deeper understanding ; advanced troubleshooting ; knowledge of REXX programming.,TS4 + deep knowledge of one or several areas of expertise. Can  suggest new solutions and improve existing systems. Backup of Architect,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 +  Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Is able to designs solution in a specific service area including automation as part of the solution implementation and service delivery. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific solution and products including tools ; hardware and  software related to the service including automation as part of the implementation and continuous service delivery. ,SA4 + Responsible for evaluation and investigation of service area specific solution and products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist Baan Operations,Infor,Baan / LN tools,Basic knowledge ; ability to solve issue based on KB,TS1 + deeper understanding of the application technology and customers' environment.,TS2 + advanced understanding of the application technology ; integrations and customer's business,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist Baan Operations,Multiple,Database,Basic knowledge ; ability to solve issue based on KB,TS1 + deeper knowledge of design and tools (e.g. monitoring and backups),TS2 + advanced knowledge of design and tools (e.g. monitoring and backups). Ability to indentify and perform improvement actions.,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist Baan Operations,Multiple,OS,Basic knowledge ; ability to solve issue based on KB,TS1 + deeper knowledge of scripting and tools (e.g. monitoring),TS2 + advanced knowledge of scripting and tools (e.g. monitoring). Ability to indentify and perform improvement actions.,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,All,Multiple,Automation and tools,Basic knowledge of scripting and tools,TS1 + deeper knowledge of scripting ; automation and tools (e.g. monitoring and backups),TS2 + advanced knowledge of scripting ; automation and tools (e.g. monitoring and backups). Ability to indentify and perform improvement actions.,TS3 + advanced knowledge of scripting ; automation and tools (e.g. monitoring and backups). Ability to evaluate and optimize methods and tools. ,TS4 + deep knowledge of scripting and automation. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL ,SA1 +  Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Is able to designs solution in a specific service area including automation as part of the solution implementation and service delivery. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific solution and products including tools ; hardware and  software related to the service including automation as part of the implementation and continuous service delivery. ,SA4 + Responsible for evaluation and investigation of service area specific solution and products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
Network ,EUS,Exchange,Specialist Exchange Operations,Private Cloud Exchange,MS Exchange 2013 ; 2016 ; 2019,understand the basics ; ability to solve issue based on KB,TS1 + deeper understanding  ; basic knowledge of AD ; troubleshooting skills ; basic knowledge of Windows Server ; ability to use ECP for administration,TS2 + advanced understanding ;  ability to use Exchange Powershell cmdlets ; basic knowledge of VM platform ; basic understanding of monitoring ; ability to read log files (IIS ; SMTP ; OWA ; EWS ; ..) ; ability to read Event Log ; ability to use Backup software,TS3 + deeper understanding ;  ability to create Powershell scripts ; ability to use AD Powershell cmdlets ; advanced troubleshooting ; advanced knowledge of VM platform ;  Is able to proactively work and solve problems ,TS4 + analytics management ; Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. Ability to use EWS.,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,,,,,,,
,EUS,Exchange,Specialist Exchange Operations,Exchange Online,O365 Exchange Online,understand the basics ; ability to solve issue based on KB ,TS1 + deeper understanding ; basic knowledge of AD / Azure AD ; troubleshooting skills ; basic knowledge of Windows Server ; ability to use ECP for administration,TS2 + advanced understanding ; basic knowledge of VM platform ; basic understanding of monitoring ; ability to use Exchange Online Powershell cmdlets ; basic knowledge of ADFS ; Directory Synchronization ; basic knowledge of Exchange Online Protection,TS3 + deeper understanding ;  ability to create Powershell scripts ;  ability to use MS Online + AzureAD Powershell cmdlets ; advanced troubleshooting ; advanced knowledge of VM platform ;  Is able to proactively work and solve problems ,TS4 + analytics management ; Deep knowledge of one or several areas of expertise. Can  suggest new solutions and improve existing systems. Backup of Architect. Ability to use EWS and Graph API,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,,,,,,,
,EUS,Exchange,Specialist Exchange Operations,E-mail Antispam,Symantec ; FuseMail ; TrendMicro,understand the basics ; ability to solve issue based on KB ,TS1 + deeper understanding ; message tracking ,TS2 + advanced understanding ; knowledge of email routing ; understanding of DNS records - SPF ; DKIM ; DMARC ; PTR and their role in messaging ; message header analysis ; ability to create content filtering rules based on message header information,TS3 + deeper understanding ; advanced troubleshooting ; advanced knowledge of VM platform ; administration via SSH and command line,TS4 + analytics management ; Deep knowledge of one or several areas of expertise. Can  suggest new solutions and improve existing systems. Backup of Architect,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,,,,,,,
,EUS,Exchange,Specialist Exchange Operations,Secure Email,Deltagon,understand the basics ; ability to solve issue based on KB ,deeper understanding ,TS2 + advanced understanding,TS3 + expert understanding ;  advanced troubleshooting ;,TS4 + analytics management ; Deep knowledge of one or several areas of expertise. Can  suggest new solutions and improve existing systems. Backup of Architect,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,,,,,,,
,EUS,Exchange,Specialist Exchange Operations,Google Apps,Google,understand the basics ; ability to solve issue based on KB ,deeper understanding ,,,,,,,,,,,
,E2E Operations,EUS,IBM Notes Operations,IBM,IBM Notes / Domino Application Server management,NA,Fundamental knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Ticket (requests and monitoring tickets) handling according operational instructions.,Advanced of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Fundamental knowledge of Lotus script (Java). Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management ; Change designs. Participation in standard onboarding projects.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,IBM Notes Operations,IBM,IBM Instand Messaging ; SameTime,NA,Fundamental knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Ticket (requests and monitoring tickets) handling according operational instructions.,Advanced of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Fundamental knowledge of Lotus script (Java). Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management ; Change designs. Participation in standard onboarding projects.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,IBM Notes Operations,IBM,IBM Social Business / IBM Connections,NA,Fundamental knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Ticket (requests and monitoring tickets) handling according operational instructions.,Advanced of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Fundamental knowledge of Lotus script (Java). Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management ; Change designs. Participation in standard onboarding projects.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,Expert knowledge of IBM collaboration tools ; Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,Access Services Operations,Microsoft ,Azure AD/EM+S/O365 identities,NA,Fundamental Azure AD/O365 knowledge. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate Azure AD/O365 knowledge. Independend ticket handling (L2 ; L3 level).,Advanced Azure AD knowledge. Intermediate knowledge of O365. Basic knowledge of PoweShell. Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of Azure AD. Advanced knowledge of PoweShell. Intermediate knowledge of O365. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of Azure AD/O365. Advanced knowledge of PoweShell. Intermediate knowledge of O365. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of  Azure AD. Advanced knowledge of PoweShell. Intermediate knowledge of O365. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of  Azure AD. Advanced knowledge of PoweShell. Intermediate knowledge of O365. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,Access Services Operations,Microsoft ,PKI,NA,Fundamental knowledge of Windows Server and digital certificates. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge of Windows Server and digital certificates. Independend ticket handling (L2 ; L3 level).,Advanced knowledge of Windows Server and digital certificates. Basic knowledge of PoweShell. Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of Windows Server and digital certificates. Advanced knowledge of PoweShell. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of Windows Server and digital certificates. Advanced knowledge of PoweShell. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of Windows Server and digital certificates. Advanced knowledge of PoweShell. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Windows Server and digital certificates. Advanced knowledge of PoweShell. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
,E2E Operations,EUS,Access Services Operations,Microsoft ,Direct Access/AlwaysOn VPN,NA,Fundamental knowledge of Windows Server ; MS networking and digital certificates. Ticket (requests and monitoring tickets) handling according operational instructions.,Intermediate knowledge of Windows Server ; MS networking and digital certificates. Independend ticket handling (L2 ; L3 level).,Advanced knowledge of Windows Server ; MS networking and digital certificates. Basic knowledge of PoweShell. Incident management (L3 level) ; Problem management ; Change management. Standard onboarding project participation.,Expert knowledge of Windows Server ; MS networking and digital certificates. Advanced knowledge of PoweShell. Problem management ; Change designs. Technical lead in standard onboarding projects.,Expert knowledge of Windows Server ; MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,Expert knowledge of Windows Server ; MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI ; RFP and DD.,Expert knowledge of Windows Server ; MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI ; RFP and DD.,,,,,
